Frame Index,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y,Point 3 X,Point 3 Y,Point 4 X,Point 4 Y,Point 5 X,Point 5 Y,Point 6 X,Point 6 Y,Point 7 X,Point 7 Y,Point 8 X,Point 8 Y,Point 9 X,Point 9 Y,Point 10 X,Point 10 Y,Point 11 X,Point 11 Y,Point 12 X,Point 12 Y,Point 13 X,Point 13 Y,Point 14 X,Point 14 Y,Point 15 X,Point 15 Y,Point 16 X,Point 16 Y,Point 17 X,Point 17 Y
0,414,48,423,40,405,41,433,51,393,53,461,101,366,105,473,170,361,165,476,229,368,225,446,227,395,227,446,323,378,316,449,395,367,388
1,415,52,424,43,403,45,433,54,389,56,463,96,364,101,535,94,305,118,601,80,243,135,441,233,385,233,440,324,373,319,448,392,369,388
2,413,50,421,41,402,42,431,52,391,54,461,104,364,105,475,170,350,169,483,227,349,225,440,226,382,225,445,321,374,316,449,394,366,389
3,412,51,422,42,401,43,432,53,388,55,460,94,363,100,529,99,304,125,601,85,241,136,443,231,387,230,442,324,375,318,448,393,370,387
4,448,48,453,38,437,39,455,48,416,50,478,102,389,99,492,165,378,168,506,218,392,227,468,226,418,224,466,317,406,311,450,390,383,381
5,496,40,491,29,495,31,459,36,477,33,418,87,485,77,413,162,510,152,445,205,550,213,418,223,463,223,430,313,479,324,421,401,461,426
6,392,58,391,49,402,48,397,54,425,49,384,93,472,94,368,171,478,168,350,224,448,202,405,231,462,227,403,318,463,306,414,408,486,384
7,418,65,426,56,412,59,441,62,411,67,470,98,399,118,494,159,395,175,484,226,381,219,456,223,415,226,450,310,424,307,462,390,457,379
8,419,59,427,52,410,53,435,62,397,64,461,109,371,110,478,167,361,169,489,217,364,222,447,227,397,227,458,316,391,311,464,386,388,377
9,417,61,427,52,409,53,436,63,397,65,463,98,373,105,534,112,328,135,608,105,281,153,451,230,396,229,453,318,389,306,463,377,387,376
10,415,62,425,53,405,54,432,63,391,66,462,103,369,110,527,123,330,147,609,136,289,165,449,231,392,230,453,318,383,312,463,379,386,378
11,417,58,425,50,408,52,434,59,394,62,461,108,370,111,476,170,365,172,481,224,368,226,448,228,398,228,459,318,389,315,463,381,386,378
12,416,61,425,51,404,53,432,62,392,65,463,98,367,105,534,103,315,121,598,76,255,129,450,233,392,232,454,319,387,316,464,380,389,377
13,390,72,397,62,386,65,420,59,394,67,464,100,377,114,479,167,373,173,481,225,371,224,447,227,396,227,454,319,385,310,463,382,384,377
14,357,88,361,77,353,83,383,67,362,79,434,91,364,126,456,151,354,181,431,212,328,226,437,227,390,233,445,315,384,314,464,382,384,376
