Frame Index,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y,Point 3 X,Point 3 Y,Point 4 X,Point 4 Y,Point 5 X,Point 5 Y,Point 6 X,Point 6 Y,Point 7 X,Point 7 Y,Point 8 X,Point 8 Y,Point 9 X,Point 9 Y,Point 10 X,Point 10 Y,Point 11 X,Point 11 Y,Point 12 X,Point 12 Y,Point 13 X,Point 13 Y,Point 14 X,Point 14 Y,Point 15 X,Point 15 Y,Point 16 X,Point 16 Y,Point 17 X,Point 17 Y
0,413,426,422,436,402,433,437,419,394,414,466,378,371,376,470,303,366,307,475,244,365,246,461,260,379,262,449,144,373,144,446,69,372,70
1,412,425,420,435,402,432,433,420,392,411,471,384,368,380,533,374,324,346,602,390,266,330,453,246,374,250,445,146,373,149,448,68,373,66
2,412,425,421,434,399,434,433,417,390,413,459,379,366,374,472,306,361,308,485,244,347,249,453,255,373,253,445,142,373,142,448,67,369,64
3,411,424,420,436,399,433,432,418,390,414,473,383,363,376,523,368,320,343,602,380,267,332,454,248,381,250,447,149,369,150,447,70,372,68
4,450,428,459,440,435,438,461,416,416,419,479,378,395,380,491,307,390,309,506,258,397,246,481,259,409,260,470,141,413,146,453,70,397,68
5,499,434,503,450,497,446,456,445,467,446,405,379,489,406,400,306,503,322,400,252,550,258,415,260,477,261,417,150,471,142,409,63,443,28
6,398,404,387,410,412,422,398,414,435,422,382,379,474,384,369,303,485,312,354,244,484,270,413,258,469,262,400,161,456,164,420,62,478,76
7,419,410,431,421,412,420,448,408,406,402,475,375,399,360,488,312,395,301,482,242,385,252,465,252,409,245,458,160,414,157,464,70,439,79
8,419,415,428,426,407,424,439,412,397,407,461,370,375,372,477,304,366,306,491,249,366,250,457,260,385,256,458,157,388,152,465,72,395,72
9,417,415,426,424,409,423,440,410,399,406,471,375,374,374,525,359,340,336,592,360,294,322,462,260,387,260,457,154,392,152,460,78,392,77
10,414,416,422,426,403,424,435,410,395,403,461,372,371,370,513,349,337,330,584,331,301,306,453,252,384,253,458,158,391,158,464,84,388,78
11,415,418,424,428,401,425,436,410,395,404,459,374,377,370,470,303,371,305,487,249,369,247,459,260,385,266,459,152,387,152,467,72,390,76
12,412,418,421,426,401,426,435,412,392,405,466,375,367,369,525,370,332,346,591,384,285,343,457,250,384,254,456,154,391,154,465,84,392,78
13,386,400,393,412,381,405,425,413,387,392,463,378,373,368,485,310,367,302,487,250,365,255,457,254,379,257,451,149,387,149,464,78,388,81
14,355,377,351,391,350,385,375,399,369,403,433,380,368,352,455,322,366,294,429,263,335,238,454,255,383,258,451,150,389,156,463,86,387,78
